review,label
"I absolutely love this phone! The battery lasts all day and the camera is incredible.",real
"This product is amazing, I highly recommend it to everyone!",fake
"The sound quality of these headphones is crystal clear and the bass is deep.",real
"Best purchase ever! You must buy this, it's so great and fantastic.",fake
"Delivery was on time and packaging was neat. Product matches the description.",real
"This is the worst product ever made. Completely useless.",real
"Superb build quality and performance, worth every rupee.",real
"I got this item for free and it’s the best thing ever, I can’t believe how perfect it is!",fake
"Customer service was very helpful when I had an issue with my order.",real
"I’ve used this for a week now and it works flawlessly. Happy with my purchase.",real
"This changed my life! Everyone should get one right now!",fake
"Terrible experience, the product broke after two days of use.",real
"The packaging was damaged but the product inside was fine.",real
"This is the most awesome and fantastic thing in the world!",fake
"The material feels premium and durable. I’m satisfied.",real
"Received a defective product. Very disappointed.",real
"Amazing quality and so cheap, unbelievable deal!",fake
"Exactly as described, met my expectations.",real
"Complete waste of money. Do not buy.",real
"Works perfectly as advertised. Would recommend to others.",real
"Fantastic quality, 10/10, I will order again tomorrow!",fake
"The app crashes frequently. Needs improvement.",real
"Affordable, reliable, and easy to use.",real
"I can’t stop telling my friends how awesome this is!",fake
"Product stopped working after one week, not worth it.",real
"Great customer support and fast delivery!",real
"This is the best invention in the history of products!",fake
"The fit is perfect, and fabric feels soft. Loved it.",real
"The product is fine, but shipping took too long.",real
"Unbelievable! Totally changed my daily routine!",fake
"The phone is fast, smooth, and performs well under load.",real
"Received wrong item but was quickly replaced. Good service.",real
"Everyone must try this, it’s beyond amazing!",fake
"The quality matches the price. Decent deal.",real
"Lightweight and comfortable to wear all day.",real
"I can’t believe how good this product is! Wow!",fake
"The laptop runs quietly and doesn’t overheat. Perfect for work.",real
"Terrible, didn’t meet expectations at all.",real
"This is a revolutionary product that everyone needs!",fake
"Installation was simple and quick. No complaints.",real
"Packaging was great and product worked instantly.",real
"This changed my life! I’ll never use anything else again!",fake
"Good value for money. Performs as expected.",real
"Fake product, do not trust these sellers.",real
"Excellent quality and very affordable.",real
"I’ve never seen anything so perfect before!",fake
"The mouse is ergonomic and battery lasts long.",real
"Good purchase overall, satisfied.",real
"This is the greatest product mankind has ever seen!",fake
"Fast delivery and works as promised.",real
"The product is okay, not too good, not too bad.",real
"Beyond expectations! Everyone should buy it!",fake
"The fan is quiet and energy-efficient.",real
"Exactly what I needed, no regrets.",real
"This is the best thing I’ve ever bought in my life!",fake
"The software runs smoothly and has all required features.",real
"Build quality could be better, but overall okay.",real
"I can’t live without this anymore, it’s just perfect!",fake
"The colors are vibrant, and display is sharp.",real
"Got it at a discount. Totally worth the price.",real
"Unreal quality! Totally mind-blowing experience!",fake
"The chair is sturdy and comfortable.",real
"Product meets my needs perfectly.",real
"This changed my world forever! Must buy!",fake
"Simple setup and user-friendly interface.",real
"Received on time and works perfectly fine.",real
"Highly recommend this to everyone alive!",fake
"Camera performance in low light is impressive.",real
"Reasonable pricing and good durability.",real
"Absolutely fantastic! Best product ever!",fake
"Easy to assemble and instructions were clear.",real
"Decent performance for the price.",real
"Best decision I ever made to buy this!",fake
"The speaker has good bass and clean sound.",real
"Responsive touch screen and long battery.",real
"This product is so awesome, I love it so much!",fake
"Quality finish and feels sturdy in hand.",real
"Working fine so far. No complaints.",real
"Everyone should own this incredible item!",fake
"The washing machine cleans well and is quiet.",real
"Handles multitasking efficiently.",real
"This is magical! Totally unreal performance!",fake
"The design is modern and attractive.",real
"Met my expectations and works as expected.",real
"I can’t imagine life without this now!",fake
"The tablet performance is smooth and stable.",real
"Nice product for daily use.",real
"Amazing product, best of all time!",fake
"Totally satisfied with the purchase.",real
"Price is fair for the quality provided.",real
"Fantastic, amazing, wonderful, superb!",fake
"Sound clarity is great, and battery lasts long.",real
"Not bad at all. Worth the price.",real

AI systems can write realistic comments easily.,fake
AI systems can write realistic comments easily.,fake
Delivery was on time and packaging was good.,real
The software UI is user-friendly and modern.,real
The software UI is user-friendly and modern.,real
The generated text from AI appears coherent and fluent.,fake
The generated text from AI appears coherent and fluent.,fake
This content was written by a machine learning algorithm.,fake
Delivery was on time and packaging was good.,real
AI systems can write realistic comments easily.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The generated text from AI appears coherent and fluent.,fake
Delivery was on time and packaging was good.,real
The chatbot wrote this text using natural language generation.,fake
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
I used this app for a week and it completely changed my workflow.,real
The chatbot wrote this text using natural language generation.,fake
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
This review is created by an AI model to simulate feedback.,fake
The software UI is user-friendly and modern.,real
The software UI is user-friendly and modern.,real
Delivery was on time and packaging was good.,real
The phone battery lasts all day with heavy usage.,real
The chatbot wrote this text using natural language generation.,fake
"This product exceeded my expectations, highly recommended!",real
This paragraph was produced using OpenAI models.,fake
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
The hotel was clean and the staff were friendly.,real
AI generated sentences that sound human-like.,fake
This laptop runs smoothly and boots up fast.,real
This article was automatically generated using GPT.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The review was synthetically created by an AI engine.,fake
I used this app for a week and it completely changed my workflow.,real
I used this app for a week and it completely changed my workflow.,real
The review was synthetically created by an AI engine.,fake
This article was automatically generated using GPT.,fake
AI generated sentences that sound human-like.,fake
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
The quality is excellent and worth the money.,real
"Absolutely loved this movie, it was emotional and powerful.",real
"Absolutely loved this movie, it was emotional and powerful.",real
Delivery was on time and packaging was good.,real
The review was synthetically created by an AI engine.,fake
"This product exceeded my expectations, highly recommended!",real
The review was synthetically created by an AI engine.,fake
AI systems can write realistic comments easily.,fake
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
The essay was composed by an artificial intelligence tool.,fake
This article was automatically generated using GPT.,fake
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
This laptop runs smoothly and boots up fast.,real
This paragraph was produced using OpenAI models.,fake
This article was automatically generated using GPT.,fake
This article was automatically generated using GPT.,fake
The software UI is user-friendly and modern.,real
The chatbot wrote this text using natural language generation.,fake
The generated text from AI appears coherent and fluent.,fake
The generated text from AI appears coherent and fluent.,fake
This review is created by an AI model to simulate feedback.,fake
The generated text from AI appears coherent and fluent.,fake
The software UI is user-friendly and modern.,real
AI generated sentences that sound human-like.,fake
The chatbot wrote this text using natural language generation.,fake
This content was written by a machine learning algorithm.,fake
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
The phone battery lasts all day with heavy usage.,real
This laptop runs smoothly and boots up fast.,real
I used this app for a week and it completely changed my workflow.,real
AI systems can write realistic comments easily.,fake
This paragraph was produced using OpenAI models.,fake
I used this app for a week and it completely changed my workflow.,real
This paragraph was produced using OpenAI models.,fake
The review was synthetically created by an AI engine.,fake
The hotel was clean and the staff were friendly.,real
This content was written by a machine learning algorithm.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The quality is excellent and worth the money.,real
The chatbot wrote this text using natural language generation.,fake
This article was automatically generated using GPT.,fake
The chatbot wrote this text using natural language generation.,fake
This content was written by a machine learning algorithm.,fake
The software UI is user-friendly and modern.,real
This laptop runs smoothly and boots up fast.,real
The essay was composed by an artificial intelligence tool.,fake
The phone battery lasts all day with heavy usage.,real
The essay was composed by an artificial intelligence tool.,fake
Customer service was quick and responsive.,real
This laptop runs smoothly and boots up fast.,real
The review was synthetically created by an AI engine.,fake
The quality is excellent and worth the money.,real
The chatbot wrote this text using natural language generation.,fake
AI generated sentences that sound human-like.,fake
Delivery was on time and packaging was good.,real
This review is created by an AI model to simulate feedback.,fake
I used this app for a week and it completely changed my workflow.,real
The software UI is user-friendly and modern.,real
The chatbot wrote this text using natural language generation.,fake
This article was automatically generated using GPT.,fake
This article was automatically generated using GPT.,fake
This paragraph was produced using OpenAI models.,fake
The hotel was clean and the staff were friendly.,real
Delivery was on time and packaging was good.,real
The essay was composed by an artificial intelligence tool.,fake
I used this app for a week and it completely changed my workflow.,real
"This product exceeded my expectations, highly recommended!",real
AI generated sentences that sound human-like.,fake
I used this app for a week and it completely changed my workflow.,real
This laptop runs smoothly and boots up fast.,real
AI systems can write realistic comments easily.,fake
The phone battery lasts all day with heavy usage.,real
This article was automatically generated using GPT.,fake
This article was automatically generated using GPT.,fake
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
The chatbot wrote this text using natural language generation.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
"This product exceeded my expectations, highly recommended!",real
The hotel was clean and the staff were friendly.,real
The hotel was clean and the staff were friendly.,real
The chatbot wrote this text using natural language generation.,fake
Delivery was on time and packaging was good.,real
This paragraph was produced using OpenAI models.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
AI generated sentences that sound human-like.,fake
Delivery was on time and packaging was good.,real
Delivery was on time and packaging was good.,real
The phone battery lasts all day with heavy usage.,real
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
The generated text from AI appears coherent and fluent.,fake
I used this app for a week and it completely changed my workflow.,real
The hotel was clean and the staff were friendly.,real
Customer service was quick and responsive.,real
AI systems can write realistic comments easily.,fake
AI systems can write realistic comments easily.,fake
"This product exceeded my expectations, highly recommended!",real
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
This article was automatically generated using GPT.,fake
This paragraph was produced using OpenAI models.,fake
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
The review was synthetically created by an AI engine.,fake
The essay was composed by an artificial intelligence tool.,fake
This laptop runs smoothly and boots up fast.,real
The generated text from AI appears coherent and fluent.,fake
This paragraph was produced using OpenAI models.,fake
This paragraph was produced using OpenAI models.,fake
AI systems can write realistic comments easily.,fake
The hotel was clean and the staff were friendly.,real
The generated text from AI appears coherent and fluent.,fake
The generated text from AI appears coherent and fluent.,fake
I used this app for a week and it completely changed my workflow.,real
The phone battery lasts all day with heavy usage.,real
AI systems can write realistic comments easily.,fake
The review was synthetically created by an AI engine.,fake
The hotel was clean and the staff were friendly.,real
The review was synthetically created by an AI engine.,fake
The review was synthetically created by an AI engine.,fake
The chatbot wrote this text using natural language generation.,fake
The essay was composed by an artificial intelligence tool.,fake
This review is created by an AI model to simulate feedback.,fake
Delivery was on time and packaging was good.,real
This review is created by an AI model to simulate feedback.,fake
The essay was composed by an artificial intelligence tool.,fake
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
This review is created by an AI model to simulate feedback.,fake
"This product exceeded my expectations, highly recommended!",real
I used this app for a week and it completely changed my workflow.,real
This review is created by an AI model to simulate feedback.,fake
The quality is excellent and worth the money.,real
The software UI is user-friendly and modern.,real
AI generated sentences that sound human-like.,fake
The software UI is user-friendly and modern.,real
This content was written by a machine learning algorithm.,fake
The phone battery lasts all day with heavy usage.,real
AI systems can write realistic comments easily.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
AI systems can write realistic comments easily.,fake
This content was written by a machine learning algorithm.,fake
The quality is excellent and worth the money.,real
This content was written by a machine learning algorithm.,fake
This content was written by a machine learning algorithm.,fake
This review is created by an AI model to simulate feedback.,fake
This content was written by a machine learning algorithm.,fake
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
The software UI is user-friendly and modern.,real
The software UI is user-friendly and modern.,real
AI generated sentences that sound human-like.,fake
The software UI is user-friendly and modern.,real
I used this app for a week and it completely changed my workflow.,real
The generated text from AI appears coherent and fluent.,fake
The chatbot wrote this text using natural language generation.,fake
This content was written by a machine learning algorithm.,fake
AI systems can write realistic comments easily.,fake
The quality is excellent and worth the money.,real
AI generated sentences that sound human-like.,fake
This content was written by a machine learning algorithm.,fake
The software UI is user-friendly and modern.,real
This laptop runs smoothly and boots up fast.,real
The hotel was clean and the staff were friendly.,real
This review is created by an AI model to simulate feedback.,fake
AI generated sentences that sound human-like.,fake
The essay was composed by an artificial intelligence tool.,fake
The phone battery lasts all day with heavy usage.,real
The generated text from AI appears coherent and fluent.,fake
The phone battery lasts all day with heavy usage.,real
The phone battery lasts all day with heavy usage.,real
The generated text from AI appears coherent and fluent.,fake
The phone battery lasts all day with heavy usage.,real
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
The phone battery lasts all day with heavy usage.,real
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
AI generated sentences that sound human-like.,fake
The software UI is user-friendly and modern.,real
The phone battery lasts all day with heavy usage.,real
The review was synthetically created by an AI engine.,fake
This content was written by a machine learning algorithm.,fake
This article was automatically generated using GPT.,fake
"This product exceeded my expectations, highly recommended!",real
The software UI is user-friendly and modern.,real
The hotel was clean and the staff were friendly.,real
The hotel was clean and the staff were friendly.,real
"This product exceeded my expectations, highly recommended!",real
The chatbot wrote this text using natural language generation.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
"Absolutely loved this movie, it was emotional and powerful.",real
This review is created by an AI model to simulate feedback.,fake
The review was synthetically created by an AI engine.,fake
The review was synthetically created by an AI engine.,fake
This article was automatically generated using GPT.,fake
The essay was composed by an artificial intelligence tool.,fake
I used this app for a week and it completely changed my workflow.,real
I used this app for a week and it completely changed my workflow.,real
The hotel was clean and the staff were friendly.,real
The software UI is user-friendly and modern.,real
This paragraph was produced using OpenAI models.,fake
The essay was composed by an artificial intelligence tool.,fake
"This product exceeded my expectations, highly recommended!",real
The software UI is user-friendly and modern.,real
The generated text from AI appears coherent and fluent.,fake
The generated text from AI appears coherent and fluent.,fake
The software UI is user-friendly and modern.,real
This content was written by a machine learning algorithm.,fake
This paragraph was produced using OpenAI models.,fake
This review is created by an AI model to simulate feedback.,fake
The generated text from AI appears coherent and fluent.,fake
AI generated sentences that sound human-like.,fake
The phone battery lasts all day with heavy usage.,real
AI generated sentences that sound human-like.,fake
This paragraph was produced using OpenAI models.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
I used this app for a week and it completely changed my workflow.,real
The phone battery lasts all day with heavy usage.,real
Customer service was quick and responsive.,real
The chatbot wrote this text using natural language generation.,fake
The essay was composed by an artificial intelligence tool.,fake
The review was synthetically created by an AI engine.,fake
The chatbot wrote this text using natural language generation.,fake
Customer service was quick and responsive.,real
"This product exceeded my expectations, highly recommended!",real
"This product exceeded my expectations, highly recommended!",real
"Absolutely loved this movie, it was emotional and powerful.",real
This review is created by an AI model to simulate feedback.,fake
This content was written by a machine learning algorithm.,fake
"This product exceeded my expectations, highly recommended!",real
The hotel was clean and the staff were friendly.,real
This article was automatically generated using GPT.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
Customer service was quick and responsive.,real
AI systems can write realistic comments easily.,fake
The quality is excellent and worth the money.,real
Customer service was quick and responsive.,real
The generated text from AI appears coherent and fluent.,fake
This review is created by an AI model to simulate feedback.,fake
"This product exceeded my expectations, highly recommended!",real
AI systems can write realistic comments easily.,fake
AI generated sentences that sound human-like.,fake
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The quality is excellent and worth the money.,real
The generated text from AI appears coherent and fluent.,fake
The quality is excellent and worth the money.,real
This laptop runs smoothly and boots up fast.,real
The chatbot wrote this text using natural language generation.,fake
This laptop runs smoothly and boots up fast.,real
The chatbot wrote this text using natural language generation.,fake
The generated text from AI appears coherent and fluent.,fake
The hotel was clean and the staff were friendly.,real
Delivery was on time and packaging was good.,real
This laptop runs smoothly and boots up fast.,real
Customer service was quick and responsive.,real
AI systems can write realistic comments easily.,fake
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
The essay was composed by an artificial intelligence tool.,fake
The essay was composed by an artificial intelligence tool.,fake
AI systems can write realistic comments easily.,fake
I used this app for a week and it completely changed my workflow.,real
This laptop runs smoothly and boots up fast.,real
The generated text from AI appears coherent and fluent.,fake
The software UI is user-friendly and modern.,real
This review is created by an AI model to simulate feedback.,fake
This article was automatically generated using GPT.,fake
The phone battery lasts all day with heavy usage.,real
This paragraph was produced using OpenAI models.,fake
The phone battery lasts all day with heavy usage.,real
The essay was composed by an artificial intelligence tool.,fake
AI generated sentences that sound human-like.,fake
AI generated sentences that sound human-like.,fake
AI systems can write realistic comments easily.,fake
"This product exceeded my expectations, highly recommended!",real
AI generated sentences that sound human-like.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
"This product exceeded my expectations, highly recommended!",real
"This product exceeded my expectations, highly recommended!",real
"This product exceeded my expectations, highly recommended!",real
The essay was composed by an artificial intelligence tool.,fake
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
I used this app for a week and it completely changed my workflow.,real
This article was automatically generated using GPT.,fake
Delivery was on time and packaging was good.,real
The essay was composed by an artificial intelligence tool.,fake
The generated text from AI appears coherent and fluent.,fake
The hotel was clean and the staff were friendly.,real
"Absolutely loved this movie, it was emotional and powerful.",real
The quality is excellent and worth the money.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This content was written by a machine learning algorithm.,fake
This content was written by a machine learning algorithm.,fake
The hotel was clean and the staff were friendly.,real
I used this app for a week and it completely changed my workflow.,real
I used this app for a week and it completely changed my workflow.,real
This review is created by an AI model to simulate feedback.,fake
This article was automatically generated using GPT.,fake
Delivery was on time and packaging was good.,real
The chatbot wrote this text using natural language generation.,fake
This article was automatically generated using GPT.,fake
This review is created by an AI model to simulate feedback.,fake
This paragraph was produced using OpenAI models.,fake
Customer service was quick and responsive.,real
"Absolutely loved this movie, it was emotional and powerful.",real
Delivery was on time and packaging was good.,real
The quality is excellent and worth the money.,real
This content was written by a machine learning algorithm.,fake
This laptop runs smoothly and boots up fast.,real
"Absolutely loved this movie, it was emotional and powerful.",real
The generated text from AI appears coherent and fluent.,fake
AI generated sentences that sound human-like.,fake
The review was synthetically created by an AI engine.,fake
The hotel was clean and the staff were friendly.,real
AI generated sentences that sound human-like.,fake
The hotel was clean and the staff were friendly.,real
Customer service was quick and responsive.,real
This content was written by a machine learning algorithm.,fake
The phone battery lasts all day with heavy usage.,real
The hotel was clean and the staff were friendly.,real
Delivery was on time and packaging was good.,real
AI generated sentences that sound human-like.,fake
The generated text from AI appears coherent and fluent.,fake
"Absolutely loved this movie, it was emotional and powerful.",real
The hotel was clean and the staff were friendly.,real
The review was synthetically created by an AI engine.,fake
This review is created by an AI model to simulate feedback.,fake
This paragraph was produced using OpenAI models.,fake
This review is created by an AI model to simulate feedback.,fake
Delivery was on time and packaging was good.,real
The hotel was clean and the staff were friendly.,real
This content was written by a machine learning algorithm.,fake
Delivery was on time and packaging was good.,real
The quality is excellent and worth the money.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This content was written by a machine learning algorithm.,fake
The chatbot wrote this text using natural language generation.,fake
"This product exceeded my expectations, highly recommended!",real
Customer service was quick and responsive.,real
The phone battery lasts all day with heavy usage.,real
The chatbot wrote this text using natural language generation.,fake
This content was written by a machine learning algorithm.,fake
I used this app for a week and it completely changed my workflow.,real
AI generated sentences that sound human-like.,fake
Delivery was on time and packaging was good.,real
The hotel was clean and the staff were friendly.,real
The essay was composed by an artificial intelligence tool.,fake
The quality is excellent and worth the money.,real
The quality is excellent and worth the money.,real
The phone battery lasts all day with heavy usage.,real
This paragraph was produced using OpenAI models.,fake
The chatbot wrote this text using natural language generation.,fake
The chatbot wrote this text using natural language generation.,fake
I used this app for a week and it completely changed my workflow.,real
This content was written by a machine learning algorithm.,fake
The hotel was clean and the staff were friendly.,real
This review is created by an AI model to simulate feedback.,fake
This laptop runs smoothly and boots up fast.,real
The software UI is user-friendly and modern.,real
Customer service was quick and responsive.,real
This laptop runs smoothly and boots up fast.,real
This paragraph was produced using OpenAI models.,fake
Delivery was on time and packaging was good.,real
The software UI is user-friendly and modern.,real
This content was written by a machine learning algorithm.,fake
The software UI is user-friendly and modern.,real
This paragraph was produced using OpenAI models.,fake
The software UI is user-friendly and modern.,real
"This product exceeded my expectations, highly recommended!",real
The software UI is user-friendly and modern.,real
The quality is excellent and worth the money.,real
This article was automatically generated using GPT.,fake
The generated text from AI appears coherent and fluent.,fake
The chatbot wrote this text using natural language generation.,fake
The generated text from AI appears coherent and fluent.,fake
Customer service was quick and responsive.,real
"Absolutely loved this movie, it was emotional and powerful.",real
"This product exceeded my expectations, highly recommended!",real
This review is created by an AI model to simulate feedback.,fake
AI generated sentences that sound human-like.,fake
Customer service was quick and responsive.,real
"Absolutely loved this movie, it was emotional and powerful.",real
This review is created by an AI model to simulate feedback.,fake
The hotel was clean and the staff were friendly.,real
This review is created by an AI model to simulate feedback.,fake
The software UI is user-friendly and modern.,real
The quality is excellent and worth the money.,real
The generated text from AI appears coherent and fluent.,fake
This laptop runs smoothly and boots up fast.,real
"This product exceeded my expectations, highly recommended!",real
The review was synthetically created by an AI engine.,fake
The phone battery lasts all day with heavy usage.,real
This article was automatically generated using GPT.,fake
The phone battery lasts all day with heavy usage.,real
The quality is excellent and worth the money.,real
"This product exceeded my expectations, highly recommended!",real
